Kabupaten/Kota,Angkatan Kerja - Bekerja,Angkatan Kerja Pengangguran - Pernah Bekerja,Angkatan Kerja Pengangguran - Tidak Pernah Bekerja,Angkatan Kerja Pengangguran - Jumlah,Angkatan Kerja - Jumlah Angkatan Kerja,Angkatan Kerja - Persentase Bekerja terhadap Angkatan Kerja,Bukan Angkatan Kerja - Sekolah,Bukan Angkatan Kerja - Mengurus Rumah Tangga,Bukan Angkatan Kerja - Lainnya,Bukan Angkatan Kerja - Jumlah Bukan Angkatan Kerja,Angkatan Kerja + Bukan Angkatan Kerja (Jumlah ),Persentase Angkatan Kerja terhadap Penduduk Usia Kerja
Kepulauan Seribu,14.214,222 (a),965,1.187,15.401,9229,1.561,3.545,890,5.996,21.397,7198
Kota Jakarta Selatan,1.089.825,33.827,24.651,58.478,1.148.303,9491,192.242,364.072,73.151,629.465,1.777.768,6459
Kota Jakarta Timur,1.446.879,50.99,54.168,105.158,1.552.037,9322,234.315,558.079,80.567,872.961,2.424.998,6400
Kota Jakarta Pusat,513.631,18.346,14.937,33.283,546.914,9391,75.35,175.65,39.935,290.935,837.849,6528
Kota Jakarta Barat,1.169.339,44.543,30.367,74.91,1.244.249,9398,182.199,422.417,104.144,708.76,1.953.009,6371
Kota Jakarta Utara,894.576,33.741,23.578,57.319,951.895,9398,100.175,312.742,50.79,463.707,1.415.602,6724
DKI Jakarta,5.128.464,181.669,148.666,330.335,5.458.799,9395,785.842,1.836.505,349.477,2.971.824,8.430.623,6475
