Kabupaten/Kota,Angkatan Kerja - Bekerja,Angkatan Kerja Pengangguran - Pernah Bekerja,Angkatan Kerja Pengangguran - Tidak Pernah Bekerja,Angkatan Kerja Pengangguran - Jumlah,Angkatan Kerja - Jumlah Angkatan Kerja,Angkatan Kerja - Persentase Bekerja terhadap Angkatan Kerja,Bukan Angkatan Kerja - Sekolah,Bukan Angkatan Kerja - Mengurus Rumah Tangga,Bukan Angkatan Kerja - Lainnya,Bukan Angkatan Kerja - Jumlah Bukan Angkatan Kerja,Angkatan Kerja + Bukan Angkatan Kerja (Jumlah ),Persentase Angkatan Kerja terhadap Penduduk Usia Kerja
Kulon Progo,276.692,3.538 (a),2.515 (a),6.053 (a),282.745,9786,24.553,41.914,11.161,77.628,360.373,7846
Bantul,592.403,11.493,10.418,21.911,614.314,9643,62.003,116.697,27.792,206.492,820.806,7484
Gunung Kidul,463.248,7.321 (a),2.868 (a),10.189,473.437,9785,34.596,81.782,25.077,141.455,614.892,7700
Sleman,662.04,20.098,8.019 (a),28.117,690.157,9593,83.389,147.49,24.88,255.759,945.916,7296
Kota Yogyakarta,205.688,7.901,4.572,12.473,218.161,9428,26.482,52.245,10.251,88.978,307.139,7103
DI Yogyakarta,2.200.071,50.351,28.392,78.743,2.278.814,9654,231.023,440.128,99.161,770.312,3.049.126,7474
