Kabupaten/Kota,Angkatan Kerja - Bekerja,Angkatan Kerja Pengangguran - Pernah Bekerja,Angkatan Kerja Pengangguran - Tidak Pernah Bekerja,Angkatan Kerja Pengangguran - Jumlah,Angkatan Kerja - Jumlah Angkatan Kerja,Angkatan Kerja - Persentase Bekerja terhadap Angkatan Kerja,Bukan Angkatan Kerja - Sekolah,Bukan Angkatan Kerja - Mengurus Rumah Tangga,Bukan Angkatan Kerja - Lainnya,Bukan Angkatan Kerja - Jumlah Bukan Angkatan Kerja,Angkatan Kerja + Bukan Angkatan Kerja (Jumlah ),Persentase Angkatan Kerja terhadap Penduduk Usia Kerja
Pandeglang,569.654,27.337 (a),27.634,54.971,624.625,9120,74.802,253.116,54.547,382.465,1/7/90,6202
Lebak,653.896,24.054,27.424,51.478,705.374,9270,68.552,245.34,77.274,391.166,1.096.540,6433
Tangerang,1.626.227,35.343,67.372,102.715,1.728.942,9406,174.922,596.479,108.889,880.29,2.609.232,6626
Serang,797.489,30.464,45.863,76.327,873.816,9127,93.925,264.374,62.727,421.026,1.294.842,6748
Kota Tangerang,920.455,26.756,30.765,57.521,977.976,9412,115.402,327.8,100.32,543.522,1.521.498,6428
Kota Cilegon,193.328,9.49,5.989,15.479,208.807,9259,31.551,79.814,20.624,131.989,340.796,6127
Kota Serang,348.28,15.654,10.354,26.008,374.288,9305,43.394,106.328,29.561,179.283,553.571,6761
Kota Tangerang Selatan,646.597,6.358 (a),21.499,27.857,674.454,9587,114.148,255.989,71.664,441.801,1.116.255,6042
Banten,5.755.926,175.456,236.9,412.356,6.168.282,9331,716.696,2.129.240,525.606,3.371.542,9.539.824,6466
