id,title,company,city,lat,lon,min_exp,skills,salary_min
f79c05c1-65fb-4182-b67e-ab45b4c56737,Videographer,PT Qiandai Kreasi Kecantikan,,-6.13472,106.70278,1,"Video Processing, Videography, Video Content Operation, Video Recording",0
aea445d4-8114-4265-bbfc-1e1c17928647,Staff Operasional Bus (Denpasar),MTrans,,-7.95,112.65139,1,"Communication Skills, Scheduling, Microsoft Office",0
1ceb1ffc-3dd1-4260-9c48-15c06ac0be9d,Guru Brain Academy Center Tasikmalaya - Ciawi,Ruangguru,,-7.35139,108.12139,1,"Physics, Mathematics, Economic Law, Bahasa Indonesia, English Language",0
31e2bfd2-31e4-4762-9d22-d539663813ac,Software Development Manager,PT DIGITAL SEJAHTERA NUSANTARA,,-6.24444,106.8,10,"Software Architecture, SDLC, Software Engineering, Software Development, Software Quality Assurance",0
81752c56-2656-48f5-a06d-601f69af15a9,e-commerce,PT. MUSHINE TRADING INTERNATIONAL,,-6.15417,106.83333,0,"Customer Service, Digital Marketing, Order Management",0
f055a426-46fb-46ff-b2a8-2112acfa72f0,Sales Distribusi,PT Graha Pelangi Jaya,,-6.98056,110.42139,1,"Sales and Marketing, Communication Skills, Sales Strategy",0
f790e4fb-872a-4629-b83b-fe07d090315d,Tukang HPL,Inti Artha Buana,,-6.96861,110.4825,1,"Wood Finished Product Production, Wooden Structure Assembly, Wood Cutting, Wooden Door Design",0
696261f7-e880-4d92-8d94-cf9207ddb3e8,Digital Marketing Executive,WAHANA PERSADA JAKARTA,,-6.40972,106.93583,0,"Communication Skills, Car Sales, Social Media, Content Marketing",0
7fb4cce0-9eca-40c9-a924-f17c4aff9f66,Staff Control Bus,MTrans,,-7.95,112.65139,1,"Reliability Engineering, Risk Assessment, Safety Awareness, Risk Management",0
8729ea17-71b2-4c2f-85d2-ee338918caec,Produser Digital Content,Visibel.ID,,-6.605,106.75917,1,"Content Writing, Content Planning, Content Editing, Creative Writing, TikTok, Content Strategy, Content Marketing, Content Operations",0
9e2e4250-dbc4-4123-b954-a3d753a637b8,Host Live Straming,Visibel.ID,,-6.605,106.75917,0,"Teamwork, Sales Strategy, Host",0
8b1a5ef1-8d25-44c0-94cc-6f155bb91c4b,Sales Executive,PT Generate Talenta Indonesia,,-6.1625,106.7875,1,"Sales and Marketing, Account Management, Customer Relationship Management, B2C Sales, Sales Strategy, Customer Service, Customer Engagement, B2B Sales, Communication Skills, Sales Management",0
4c696810-1547-4d34-82d4-6b1d8a37af6b,Perawat Gigi (Sozo Dental Semarang),SOZO Dental (Seven Retail Group),,-6.98056,110.42139,1,"Teamwork, Stock Opname, Dentist",0
881e271b-334e-4ed7-91ff-cd642fd1a0b3,Instruktur Pelatihan AI Mandarin,PT. Hua Xia Indonesia,,-6.93139,107.60083,0,"IT Training, Teamwork, Leadership Training, Teaching, Microsoft Office, Communication Skills, Training",0
3bb6c4bc-7764-4a4a-a99d-87b06d97354f,Marketing Property Freelance,The Consultant Property (PT Weida Indah Cemerlang),,-6.29583,106.62083,0,"Public Speaking, Sales and Marketing, Instagram Marketing",0
40e8cdaa-8b35-4e0a-86fd-635bef4e0f80,Cook Helper,Bofet Rajo Payakumbuah,,-6.23333,106.92083,1,"Cook, Catering Management, Home Cooking",0
23a06f2e-103d-4d49-adaa-b4ed6899a50d,Marketing,Sepakat Safety,Bekasi,-6.25806,106.97778,1,"Networking, Communication Skills, Negotiation Skills",0
34827479-f264-4b97-89e3-9af952f43840,Junior Shoe Technician,PT Khariya Laundro Mesticka,,-7.3125,112.68833,1,"Public Speaking, Customer Service, Teamwork, Cleaning Service",0
