matched_regency,Provinsi,labor_force_num,Latitude,Longitude,job_volume,competitive_index,opportunity_index,prosperity_status
Sukoharjo,Jawa Tengah,530316.0,-7.6814994,110.8700287,166,1.319277108433735,0.0003130209158313157,Lautan Peluang
Sumedang,Jawa Barat,616120.0,-6.8098713,107.9817732,24,1.3333333333333333,3.895345062650133e-05,Zona Merah
Sumenep,Jawa Timur,748058.0,-6.9991798,113.8376708,0,1.0,0.0,Zona Merah
Tangerang,Banten,1728942.0,-6.1644013,106.4679311,214,1.308411214953271,0.00012377511796231452,Lautan Peluang
Tasikmalaya,Jawa Barat,1041495.0,-7.4271707,108.0684231,1,1.0,9.601582340769759e-07,Zona Merah
Tegal,Jawa Tengah,933146.0,-7.0564433,109.1315766,10,1.2,1.0716436656214569e-05,Zona Merah
Temanggung,Jawa Tengah,505419.0,-7.2397576,110.1216648,22,1.4545454545454546,4.352824092485641e-05,Zona Merah
Trenggalek,Jawa Timur,470751.0,-8.1359347,111.6401983,7,1.0,1.4869856888248777e-05,Zona Merah
Tuban,Jawa Timur,722859.0,-6.9596385,111.8932266,33,1.4848484848484849,4.565205662515096e-05,Zona Merah
Tulungagung,Jawa Timur,675313.0,-8.0729035,111.8996408,22,1.2272727272727273,3.257748629154185e-05,Zona Merah
Wonogiri,Jawa Tengah,685334.0,-7.9620507,110.9575733,24,1.0416666666666667,3.5019421187333476e-05,Zona Merah
Wonosobo,Jawa Tengah,548804.0,-7.3997999,109.9209645,16,1.75,2.9154306455492306e-05,Zona Merah
