matched_regency,Provinsi,unemployment_num,labor_force_num,Latitude,Longitude,job_volume,competitive_index,opportunity_index,tpt,prosperity_status,cluster_id,hub_type
Kota Blitar,Jawa Timur,4019.0,93931.0,-8.0982442,112.1650769,1,1.0,0.0002488181139586,4.28,Zona Merah,0,Economic Hub
Kota Bogor,Jawa Barat,43857.0,551358.0,-6.5963564,106.7973188,560,1.4071428571428573,0.0127687712337825,7.95,Lautan Peluang,1,Economic Hub
Kota Cilegon,Banten,15479.0,208807.0,-6.017389,106.0537688,90,1.4555555555555555,0.0058143290910265,7.41,Lautan Peluang,1,Economic Hub
Kota Cimahi,Jawa Barat,27942.0,319239.0,-6.8731527,107.5423099,76,1.263157894736842,0.0027199198339417,8.75,Lautan Peluang,0,Economic Hub
Kota Cirebon,Jawa Barat,11919.0,185922.0,-6.7137044,108.5608483,220,1.2454545454545454,0.0184579243225102,6.41,Lautan Peluang,0,Economic Hub
Kota Depok,Jawa Barat,69289.0,1063021.0,-6.40719,106.8158371,347,1.340057636887608,0.005008009929426,6.52,Lautan Peluang,1,Economic Hub
Kota Jakarta Barat,DKI Jakarta,74910.0,1244249.0,-6.161569,106.7438905,7498,1.5720192051213655,0.1000934454678948,6.02,Lautan Peluang,1,Economic Hub
Kota Jakarta Pusat,DKI Jakarta,33283.0,546914.0,-6.1823399,106.8428715,2127,1.466854724964739,0.0639064988132079,6.09,Lautan Peluang,1,Economic Hub
Kota Jakarta Selatan,DKI Jakarta,58478.0,1148303.0,-6.2838694,106.8048297,3766,1.5212426978226234,0.0644002872875269,5.09,Lautan Peluang,1,Economic Hub
Kota Jakarta Timur,DKI Jakarta,105158.0,1552037.0,-6.2628908,106.8822289,933,1.4866023579849947,0.0088723634911276,6.78,Lautan Peluang,1,Economic Hub
Kota Jakarta Utara,DKI Jakarta,57319.0,951895.0,-6.136197,106.9006902,2514,1.458631662688942,0.0438598021598422,6.02,Lautan Peluang,1,Economic Hub
Kota Kediri,Jawa Timur,6316.0,167812.0,-7.8111057,112.0046051,106,1.330188679245283,0.0167827739075364,3.76,Lautan Peluang,0,Economic Hub
Kota Madiun,Jawa Timur,5036.0,117322.0,-7.6290837,111.5168819,91,1.2087912087912087,0.0180698967434471,4.29,Lautan Peluang,0,Economic Hub
Kota Magelang,Jawa Tengah,2930.0,68056.0,-7.4770747,110.2182164,74,1.337837837837838,0.0252559726962457,4.31,Lautan Peluang,0,Economic Hub
Kota Malang,Jawa Timur,27710.0,486794.0,-7.9771308,112.6340265,465,1.3483870967741935,0.0167809455070371,5.69,Lautan Peluang,0,Economic Hub
Kota Mojokerto,Jawa Timur,3549.0,76117.0,-7.4631537,112.4319852,103,1.3203883495145632,0.0290222597914905,4.66,Lautan Peluang,0,Economic Hub
Kota Pasuruan,Jawa Timur,5899.0,128423.0,-7.6399593,112.9070632,96,1.4895833333333333,0.0162739447363959,4.59,Lautan Peluang,0,Economic Hub
Kota Pekalongan,Jawa Tengah,9124.0,188801.0,-6.8905065,109.6761489,0,1.0,0.0,4.83,Zona Merah,-1,Isolated zone
Kota Probolinggo,Jawa Timur,6555.0,133000.0,-7.7441461,113.2158401,1,1.0,0.0001525553012967,4.93,Zona Merah,0,Economic Hub
Kota Salatiga,Jawa Tengah,4203.0,114516.0,-7.3302642,110.4995353,59,1.2881355932203389,0.0140375921960504,3.67,Lautan Peluang,0,Economic Hub
Kota Semarang,Jawa Tengah,56228.0,994994.0,-6.9903988,110.4229104,1059,1.3087818696883853,0.0188340328661876,5.65,Lautan Peluang,0,Economic Hub
Kota Serang,Banten,26008.0,374288.0,-6.1169662,106.1518079,1,1.0,3.844970778222086e-05,6.95,Zona Merah,1,Economic Hub
Kota Sukabumi,Jawa Barat,15241.0,186146.0,-6.9199289,106.9265095,101,1.2871287128712872,0.006626861754478,8.19,Lautan Peluang,0,Economic Hub
Kota Surabaya,Jawa Timur,79432.0,1641429.0,-7.2462836,112.7377674,2282,1.3799298860648554,0.0287289757276664,4.84,Lautan Peluang,0,Economic Hub
Kota Surakarta,Jawa Tengah,13586.0,301594.0,-7.5692489,110.828448,326,1.3098159509202454,0.0239952892683644,4.5,Lautan Peluang,0,Economic Hub
Kota Tangerang,Banten,57521.0,977976.0,-6.1761924,106.6382161,2020,1.4663366336633663,0.0351176092209801,5.88,Lautan Peluang,1,Economic Hub
Kota Tangerang Selatan,Banten,27857.0,674454.0,-6.3227016,106.7085737,832,1.4314903846153846,0.0298668198298452,4.13,Lautan Peluang,1,Economic Hub
Kota Tasikmalaya,Jawa Barat,24819.0,385800.0,-7.3262484,108.2201154,69,1.2318840579710144,0.0027801281276441,6.43,Lautan Peluang,0,Economic Hub
